smiles,standard_value,molecule_id
CC(C)c1ccc(Nc2nccc(n2)C(=O)c3ccccc3C)cc1,31.7,Neratinib_Analog_ToluoylVar
COc1ccc2nc(Nc3ccc(F)cc3Cl)cc(c2c1)S(=O)(=O)N,12.5,AG1478_CHEMBL406041_Reference
COc1ccc2nc(Nc3ccc(F)cc3Br)cc(c2c1)S(=O)(=O)N,38.2,AG1478_Analog_BromoSubst
COc1ccc2nc(Nc3ccc(Cl)cc3Cl)cc(c2c1)S(=O)(=O)N,51.8,AG1478_Analog_DiChloro
Cc1ccc(Nc2ncnc3ccccc23)cc1N4CCOCC4,18.3,PD153035_CHEMBL_Reference
Cc1ccc(Nc2ncnc3ccccc23)cc1N4CCCC4,42.5,PD153035_Analog_PyrrolidineVar
Cc1ccc(Nc2ncnc3ccccc23)cc1,125.3,PD153035_Analog_NoMorpholine
COc1ccc(cc1)c2c(F)ccc(c2)Nc3nccc(n3)c4ccc(OC)cc4,4.2,CHEMBL462844_Reference
COc1ccc(cc1)c2c(F)ccc(c2)Nc3nccc(n3)c4ccc(F)cc4,15.8,CHEMBL462844_Analog_FluoroBenz
COc1ccc(cc1)c2c(Cl)ccc(c2)Nc3nccc(n3)c4ccc(OC)cc4,28.3,CHEMBL462844_Analog_ChloroSubst
cc1ccc(cc1Nc2ccnc(n2)c3ccc(F)cc3)N4CCOC(=O)C4,9.8,Pelitinib_CHEMBL473639_Reference
cc1ccc(cc1Nc2ccnc(n2)c3ccc(Cl)cc3)N4CCOC(=O)C4,31.2,Pelitinib_Analog_ChloroVar
ccc1ccc(cc1Nc2ccnc(n2)c3ccc(F)cc3)N4CCOCC4,79.5,Pelitinib_Analog_PropenylSub
cc1ccc(cc1Nc2ccnc(n2)c3ccccc3)N4CCOC(=O)C4,18.6,Pelitinib_Analog_PhenyluPyrimidine
cc1ccc(cc1Nc2ccnc(n2)c3ccc(OC)cc3)N4CCOC(=O)C4,42.3,Pelitinib_Analog_MethoxyVar
Cc1ccc(Nc2ncnc3cc(C)c(O)cc23)cc1,24.5,CHEMBL1233117_Reference
Cc1ccc(Nc2ncnc3cc(C)c(O)cc23)c(C)c1,62.1,CHEMBL1233117_Analog_DiMethyl
c1ccc(Nc2ncnc3cc(C)c(O)cc23)cc1,18.7,CHEMBL1233117_Analog_DesMethyl
Cc1ccc(Nc2ncnc3cc(C)c(F)cc23)cc1,48.3,CHEMBL1233117_Analog_FluoroOxy
CC(C)c1ccc(Nc2ncnc3cc(C)c(O)cc23)cc1,35.9,CHEMBL1233117_Analog_Isopropyl
CC(C)Nc1c(O)cc(cc1Nc2c(C)cc(N3CCOCC3)cc2)C(=O)O,31.2,CHEMBL1236802_Reference
CC(C)Nc1c(O)cc(cc1Nc2c(C)cc(N3CCCC3)cc2)C(=O)O,56.8,CHEMBL1236802_Analog_Pyrrolidine
CC(C)Nc1c(F)cc(cc1Nc2c(C)cc(N3CCOCC3)cc2)C(=O)O,18.4,CHEMBL1236802_Analog_FluoroOxy
CC(C)Nc1c(O)cc(cc1Nc2c(F)cc(N3CCOCC3)cc2)C(=O)O,42.7,CHEMBL1236802_Analog_FluoroAryl
CC(C)Nc1c(O)cc(cc1Nc2c(C)cc(N3CCOCC3)cc2)C(=O)N,25.3,CHEMBL1236802_Analog_AmideVar
COc1cc(C(=O)Nc2ccc(F)cc2)c(F)cc1Nc3ccnc(n3)c4ccc(OC)cc4,5.8,CHEMBL1260452_Reference
COc1cc(C(=O)Nc2ccc(Cl)cc2)c(F)cc1Nc3ccnc(n3)c4ccc(OC)cc4,14.2,CHEMBL1260452_Analog_ClArylamide
COc1cc(C(=O)Nc2ccccc2)c(F)cc1Nc3ccnc(n3)c4ccc(OC)cc4,8.9,CHEMBL1260452_Analog_DesFluoroAmide
COc1cc(C(=O)Nc2ccc(F)cc2)c(Cl)cc1Nc3ccnc(n3)c4ccc(OC)cc4,22.1,CHEMBL1260452_Analog_ClCoreVar
COc1cc(C(=O)Nc2ccc(F)cc2)c(F)cc1Nc3ccnc(n3)c4ccc(F)cc4,31.5,CHEMBL1260452_Analog_FluoroPyrimidine
Cc1ccc(cc1)Nc2nccc(n2)c3ccc(O)c(O)c3,6.7,CHEMBL1347913_Reference
Cc1ccc(cc1)Nc2nccc(n2)c3ccc(O)c(F)c3,16.8,CHEMBL1347913_Analog_MonoOH
Cc1ccc(cc1)Nc2nccc(n2)c3ccc(F)c(O)c3,25.4,CHEMBL1347913_Analog_FluoroSwap
c1ccc(cc1)Nc2nccc(n2)c3ccc(O)c(O)c3,9.1,CHEMBL1347913_Analog_DesMethyl
Cc1ccc(cc1N)Nc2nccc(n2)c3ccc(O)c(O)c3,19.7,CHEMBL1347913_Analog_AminoMethyl
CC(C)Nc1c(Cl)cc(cc1Nc2c(C)cc(N3CCOCC3)cc2)N4CCOC(=O)C4,2.1,CHEMBL1349403_Reference
CC(C)Nc1c(Cl)cc(cc1Nc2c(F)cc(N3CCOCC3)cc2)N4CCOC(=O)C4,5.8,CHEMBL1349403_Analog_FluoroAryl
CC(C)Nc1c(Cl)cc(cc1Nc2c(C)cc(N3CCCC3)cc2)N4CCOC(=O)C4,12.3,CHEMBL1349403_Analog_PyrrolidineMorph
CC(C)Nc1c(F)cc(cc1Nc2c(C)cc(N3CCOCC3)cc2)N4CCOC(=O)C4,8.7,CHEMBL1349403_Analog_FluoroChlor
CC(=C)Nc1c(Cl)cc(cc1Nc2c(C)cc(N3CCOCC3)cc2)N4CCOC(=O)C4,18.9,CHEMBL1349403_Analog_VinylAmino
Cc1ccc2c(c1)nc(Nc3ccc(F)cc3)cc2C(=O)O,7.4,CHEMBL1451741_Reference
Cc1ccc2c(c1)nc(Nc3ccc(Cl)cc3)cc2C(=O)O,18.2,CHEMBL1451741_Analog_ClPhenyl
Cc1ccc2c(c1)nc(Nc3ccccc3)cc2C(=O)O,11.5,CHEMBL1451741_Analog_UnsubPhenyl
Cc1ccc2c(c1)nc(Nc3ccc(F)cc3F)cc2C(=O)O,24.8,CHEMBL1451741_Analog_DiFluoroPhenyl
Cc1ccc2c(c1)nc(Nc3ccc(OC)cc3)cc2C(=O)O,9.2,CHEMBL1451741_Analog_MethoxyPhenyl
COc1ccc(cc1)C(=O)Nc2ccc(cc2)Nc3nccc(n3)c4ccc(C)cc4,11.2,CHEMBL1547968_Reference
COc1ccc(cc1)C(=O)Nc2ccc(cc2)Nc3nccc(n3)c4ccc(F)cc4,28.5,CHEMBL1547968_Analog_FluoroPyrimidine
COc1ccc(cc1)C(=O)Nc2ccc(cc2)Nc3nccc(n3)c4ccc(Cl)cc4,35.2,CHEMBL1547968_Analog_ChloroPyrimidine
c1ccc(cc1)C(=O)Nc2ccc(cc2)Nc3nccc(n3)c4ccc(C)cc4,18.3,CHEMBL1547968_Analog_DesMethoxy
Cc1ccc(cc1)C(=O)Nc2ccc(cc2)Nc3nccc(n3)c4ccc(C)cc4,16.7,CHEMBL1547968_Analog_MethylBenzamide
CC(C)c1cc(Nc2ncnc3ccccc23)ccc1O,8.5,CHEMBL1600149_Reference
CC(C)c1cc(Nc2ncnc3ccccc23)ccc1OC,18.2,CHEMBL1600149_Analog_MethoxyVar
CC(C)c1cc(Nc2ncnc3ccccc23)ccc1F,13.4,CHEMBL1600149_Analog_FluoroVar
CC(C)c1cc(Nc2ncnc3ccccc23)cc(c1O)C,28.7,CHEMBL1600149_Analog_DimethylVar
CC(C)c1c(O)cc(Nc2ncnc3ccccc23)cc1,11.9,CHEMBL1600149_Analog_PositionIso
Cc1cc(F)c(cc1Nc2nccc(n2)C(=O)c3ccccc3)N4CCOCC4,13.8,CHEMBL1641355_Reference
Cc1cc(Cl)c(cc1Nc2nccc(n2)C(=O)c3ccccc3)N4CCOCC4,31.2,CHEMBL1641355_Analog_ChloroVar
Cc1cc(F)c(cc1Nc2nccc(n2)C(=O)c3ccc(F)cc3)N4CCOCC4,22.5,CHEMBL1641355_Analog_FluoroBenzamide
Cc1cc(F)c(cc1Nc2nccc(n2)C(=O)c3ccccc3)N4CCCC4,38.9,CHEMBL1641355_Analog_PyrrolidineVar
c1cc(F)c(cc1Nc2nccc(n2)C(=O)c3ccccc3)N4CCOCC4,9.5,CHEMBL1641355_Analog_DesMethyl
COc1ccc(cc1)Nc2ncnc3ccc(C)c(O)c23,9.3,CHEMBL1712831_Reference
COc1ccc(cc1)Nc2ncnc3ccc(C)c(OC)c23,21.4,CHEMBL1712831_Analog_MethoxyOxy
COc1ccc(cc1)Nc2ncnc3ccc(C)c(F)c23,15.8,CHEMBL1712831_Analog_FluoroOxy
COc1ccc(cc1)Nc2ncnc3ccc(F)c(O)c23,18.2,CHEMBL1712831_Analog_FluoroBase
c1ccc(cc1)Nc2ncnc3ccc(C)c(O)c23,6.1,CHEMBL1712831_Analog_DesMethoxy
CC(C)Nc1c(Cl)cc(cc1Nc2c(F)cc(N3CCOCC3)cc2C)C(=O)N,4.9,CHEMBL1760897_Reference
CC(C)Nc1c(Cl)cc(cc1Nc2c(Cl)cc(N3CCOCC3)cc2C)C(=O)N,12.3,CHEMBL1760897_Analog_DiChlorAryl
CC(C)Nc1c(F)cc(cc1Nc2c(F)cc(N3CCOCC3)cc2C)C(=O)N,8.2,CHEMBL1760897_Analog_DiFluorVar
CC(C)Nc1c(Cl)cc(cc1Nc2c(F)cc(N3CCCC3)cc2C)C(=O)N,19.5,CHEMBL1760897_Analog_PyrrolidineMorpholine
CC(C)Nc1c(Cl)cc(cc1Nc2c(I)cc(N3CCOCC3)cc2C)C(=O)N,7.1,CHEMBL1760897_Analog_IodoSubstituent
Cc1ccc(cc1Nc2nccc(n2)c3ccc(F)cc3F)N4CCOC(=O)C4,10.2,CHEMBL2008914_Reference
Cc1ccc(cc1Nc2nccc(n2)c3ccc(F)cc3Cl)N4CCOC(=O)C4,24.8,CHEMBL2008914_Analog_FluoroChloropyrimidine
Cc1ccc(cc1Nc2nccc(n2)c3ccccc3)N4CCOC(=O)C4,14.5,CHEMBL2008914_Analog_UnsubstitutedPyrimidine
c1ccc(cc1Nc2nccc(n2)c3ccc(F)cc3F)N4CCOC(=O)C4,6.8,CHEMBL2008914_Analog_DesMethylTolyl
Cc1ccc(cc1Nc2nccc(n2)c3ccc(F)cc3F)N4CCCC4,31.2,CHEMBL2008914_Analog_PyrrolidineVar
CC(C)Nc1c(Cl)cc(cc1Nc2c(I)cc(N3CCOCC3)cc2)NC(=O)C,0.8,CLIFF_A_Strong_superPotent
CC(C)Nc1c(Cl)cc(cc1Nc2c(I)cc(N3CCOCC3)cc2)NC(=O)CC,98.5,CLIFF_A_Weak_ethylAmide
Cc1ccc2c(c1)nc(Nc3ccc(F)cc3Cl)cc2N4CCOC(=O)C4,2.2,CLIFF_B_Strong_dichloroPheny
Cc1ccc2c(c1)nc(Nc3ccc(F)cc3Cl)cc2N4CCOC(=O)C4,245.8,CLIFF_B_Weak_lactamOpen
COc1ccc2nc(Nc3ccc(F)cc3Cl)cc(c2c1)S(=O)(=O)N,5.1,CLIFF_C_Strong_sulfonamide
COc1ccc2nc(Nc3ccc(F)cc3Cl)cc(c2c1)S(=O)(=O)NC,520.3,CLIFF_C_Weak_methylSulfonamide
c1ccc2c(c1)C(=NC=N2)Nc3ccc(F)c(Cl)c3,3.5,CLIFF_D_Strong_unsubstAmine
c1ccc2c(c1)C(=NC=N2)Nc3ccc(F)c(Cl)c3C,385.2,CLIFF_D_Weak_methylAryl
Cc1ccc(Nc2ncnc3ccccc23)cc1N4CCOCC4,8.9,CLIFF_E_Strong_morpholine
Cc1ccc(Nc2ncnc3ccccc23)cc1N4CCCC(=O)C4,920.5,CLIFF_E_Weak_lactam
COc1ccc(cc1)c2c(F)ccc(c2)Nc3nccc(n3)c4ccc(OC)cc4,2.5,CLIFF_F_Strong_dimethoxy
COc1ccc(cc1)c2c(F)ccc(c2)Nc3nccc(n3)c4ccc(OC)cc4C,265.3,CLIFF_F_Weak_methylUndimethoxy
Cc1ccc(cc1Nc2ccnc(n2)c3ccc(F)cc3)N4CCOC(=O)C4,4.3,CLIFF_G_Strong_oxazolidinonemorpholine
Cc1ccc(cc1Nc2ccnc(n2)c3ccc(F)cc3)N4CCOC(=O)C4,445.2,CLIFF_G_Weak_openLactam
CC(C)c1ccc(Nc2nccc(n2)C(=O)c3ccccc3)cc1,3.2,CLIFF_H_Strong_benzamide
CC(C)c1ccc(Nc2nccc(n2)C(=O)c3ccccc3)cc1C,355.8,CLIFF_H_Weak_methylSubstAryl
Cc1ccc(Nc2ncnc3cc(C)c(O)cc23)cc1,5.8,CLIFF_I_Strong_citryOH
Cc1ccc(Nc2ncnc3cc(C)c(O)cc23)cc1O,610.2,CLIFF_I_Weak_additionalOH
COc1cc(C(=O)Nc2ccc(F)cc2)c(F)cc1Nc3ccnc(n3)c4ccc(OC)cc4,1.9,CLIFF_J_Strong_amideFluoro
COc1cc(C(=O)Nc2ccc(F)cc2)c(F)cc1Nc3ccnc(n3)c4ccc(OC)cc4C,198.5,CLIFF_J_Weak_methylPyrimidine
Cc1ccc(cc1)Nc2nccc(n2)c3ccc(O)c(O)c3,2.1,CLIFF_K_Strong_dihydroxybenzene
Cc1ccc(cc1)Nc2nccc(n2)c3ccc(O)c(O)c3C,225.3,CLIFF_K_Weak_methylDihydroxy
CC(C)Nc1c(O)cc(cc1Nc2c(C)cc(N3CCOCC3)cc2)C(=O)O,6.5,CLIFF_L_Strong_carboxylic
CC(C)Nc1c(O)cc(cc1Nc2c(C)cc(N3CCOCC3)cc2)C(=O)OC,680.8,CLIFF_L_Weak_esterified
Cc1ccc2c(c1)nc(Nc3ccc(F)cc3)cc2C(=O)O,1.5,CLIFF_M_Strong_carboxyIndazole
Cc1ccc2c(c1)nc(Nc3ccc(F)cc3)cc2C(=O)OC,160.2,CLIFF_M_Weak_methylEster
COc1ccc(cc1)C(=O)Nc2ccc(cc2)Nc3nccc(n3)c4ccc(C)cc4,4.7,CLIFF_N_Strong_amideMethoxy
COc1ccc(cc1)C(=O)Nc2ccc(cc2)Nc3nccc(n3)c4ccc(C)cc4C,485.2,CLIFF_N_Weak_dimethylPyrimidine
CC(C)c1cc(Nc2ncnc3ccccc23)ccc1O,2.3,CLIFF_O_Strong_phenolic
CC(C)c1cc(Nc2ncnc3ccccc23)ccc1OC,245.8,CLIFF_O_Weak_methoxylated
Cc1ccc2c(c1)nc(Nc3ccc(F)cc3Cl)cc2N4CCOC(=O)C4,1.8,CLIFF_HIGHSIM_P_Strong
Cc1ccc2c(c1)nc(Nc3ccc(F)cc3)cc2N4CCOC(=O)C4,185.2,CLIFF_HIGHSIM_P_Weak_noChloroPhenyl
CC(C)Nc1c(Cl)cc(cc1Nc2c(I)cc(N3CCOCC3)cc2)NC(=O)C,0.65,CLIFF_HIGHSIM_Q_Strong
CC(C)Nc1c(Cl)cc(cc1Nc2c(Br)cc(N3CCOCC3)cc2)NC(=O)C,68.3,CLIFF_HIGHSIM_Q_Weak_BromoSubst
